License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,Entity Name,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Primary Contact Name,Email
OCM-MICR-25-000296,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/11/2025 0:00,9/11/2025 0:00,9/11/2027 0:00,OCMMICR-2023-000446,TW of NY Retail LLC,39-49 Allen Blvd,,Farmingdale,NY,11735,Suffolk,Long Island,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Brandon Pollock,brandon@theorywellness.org
OCM-MICR-25-000295,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,9/8/2025 0:00,9/8/2025 0:00,9/8/2027 0:00,OCMMICR-2023-000257,"Opulent Oasis, LLC",135 Walling Rd,,Warwick,NY,10990,Orange,Mid-Hudson,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Infusing and Blending; and Packaging, Labeling and Branding",Randie Paterno,info@randiepaternolaw.com
OCM-PROC-25-000309,Adult-Use Processor License,OCMPROC2,Active,LICACT,8/26/2025 0:00,8/26/2025 0:00,8/26/2027 0:00,OCMPROC2-2024-000005,NY Cannabis Source L.L.C.,,,,,,Orange,Mid-Hudson,urbanxtracts.com,Non-Operational,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Eran Sherin,eran@nyhempsource.com
OCM-PROC-25-000308,Adult-Use Processor License,OCMPROC,Active,LICACT,8/6/2025 0:00,8/6/2025 0:00,8/6/2027 0:00,OCMPROC-2023-000369,Empire Hemp Co.,,,,,,Genesee,Finger Lakes,www.empirehempco.com,Non-Operational,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Christopher VanDusen,chris@empirehempco.com
OCM-PROC-25-000307,Adult-Use Processor License,OCMPROC,Active,LICACT,8/5/2025 0:00,8/5/2025 0:00,8/5/2027 0:00,OCMPROC-2023-000522,"Emplantx, Inc.",,,,,,Steuben,Southern Tier,www.emplantx.com,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Joseph Calderone,joseph.calderone@gmail.com
OCM-MICR-25-000290,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,8/4/2025 0:00,8/4/2025 0:00,8/4/2027 0:00,OCMMICR-2023-000530,"Hidden City Farms, LLC",,,,,,Westchester,Mid-Hudson,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing",MICROBUS_MIXED,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Micci Weiss,micci@mjweisslaw.com
OCM-MICR-25-000288,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,7/28/2025 0:00,7/28/2025 0:00,7/28/2027 0:00,OCMMICR-2023-000098,Christopher D Casacci,,,,,,Erie,Western NY,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,Type 1 - Extracting,Christopher Casacci,chris.casacci@gmail.com
OCM-PROC-25-000303,Adult-Use Processor License,OCMPROC,Active,LICACT,7/28/2025 0:00,7/28/2025 0:00,7/28/2027 0:00,OCMPROC-2023-000419,Miss Perry Farms Processing Inc.,,,,,,Oneida,Mohawk Valley,,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Maria Perry,maria@missperryfarms.com
OCM-MICR-25-000287,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,7/25/2025 0:00,7/25/2025 0:00,7/25/2027 0:00,OCMMICR-2024-000008,Denice Davis LLC,,,,,,Schenectady,Capital District,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Denice Davis,denicedavisllc@gmail.com
OCM-MICR-25-000284,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,7/10/2025 0:00,7/10/2025 0:00,7/10/2027 0:00,OCMMICR-2023-000309,Rosa International Realty LLC,28 Roland Pl,,Schenectady,NY,12304,Schenectady,Capital District,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Gabriel Rosa,realtyprince@aol.com
OCM-MICR-25-000275,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/30/2025 0:00,6/30/2025 0:00,6/30/2027 0:00,OCMMICR-2023-000769,Andrew J Pirozzolo,,,,,,Chemung,Southern Tier,,Non-Operational,"Adult-Use Cultivation, Adult-Use Distribution",MICROBUS_OUTDOOR,,Andrew Pirozzolo,andrewjoseph.1111a@gmail.com
OCM-MICR-25-000274,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/30/2025 0:00,6/30/2025 0:00,6/30/2027 0:00,OCMMICR-2023-001322,A Walk in the Pines LLC,,,,,,Monroe,Finger Lakes,www.awalkinthepines.com,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Michael Dulen,mike.dulen@awalkinthepines.com
OCM-MICR-25-000273,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/30/2025 0:00,6/30/2025 0:00,6/30/2027 0:00,OCMMICR-2023-000232,Booksmart CC LLC,,,,,,Albany,Capital District,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Paul Booker,BookSmartShops@gmail.com
OCM-PROC-25-000299,Adult-Use Processor License,OCMPROC,Active,LICACT,6/27/2025 0:00,6/27/2025 0:00,6/27/2027 0:00,OCMPROC-2023-000008,Kluglino LLC,,,,,,Rockland,Mid-Hudson,,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",Dov Seewald ,tvc@tobacco.law
OCM-MICR-25-000272,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,6/23/2025 0:00,6/23/2025 0:00,6/23/2027 0:00,OCMMICR-2023-000308,alpine agronomy LLC,245 Broadway,,Saranac Lake,NY,12983,Franklin,North Country,,Non-Operational,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",MICROBUS_INDOOR,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Chase Schuyler ,alpine.agronomyadk@gmail.com
OCM-PROC-25-000298,Adult-Use Processor License,OCMPROC,Active,LICACT,6/12/2025 0:00,6/12/2025 0:00,6/12/2027 0:00,OCMPROC-2024-000046,Eaton Processing LLC,,,,,,Madison,Central NY,www.eatonbotanicals.com,Non-Operational,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",Daniel Dolgin,daniel.dolgin@gmail.com
